Gene	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	GC10	GC11	GC12
4930550C17Rik	0	0	0	0	0.000269145	0	0	0.006686555	0.00029466	0.002581269	0.031934871	0.008753071
4930550L24Rik	0.342227004	0.058263694	0	0.002679827	0.013202886	0.02661164	0.194338707	0.050569918	0.297360897	0.290772299	0.087494056	0.042522306
4930551L18Rik	0	0	0	0.000201544	0.000981509	0.000123684	0.021309439	0.02769067	0.089667096	0.095963405	0.066791282	0.049456712
4930551O13Rik	0.002032371	0.012873438	0	0.008249673	0.009641112	0.005198654	0.205900156	0.205028836	0.47649813	0.412665047	0.253824986	0.10650819
4930552N02Rik	0.004220019	0	0	0.003281667	0.000370645	0.003769802	0.023747477	0.087703389	0.106237794	0.157944739	0.143803775	0.204566987
4930552P12Rik	0.000611191	0.002765797	0	0.012880671	0.009963942	0.00578192	0.000248177	0.005596812	0.001108814	0.000238434	0.006748313	0.001588862
4930553M12Rik	0	0	0	0	0	0	0.00451601	0.028824785	0.01865625	0.036055134	0.021946165	0.003251594
4930554C24Rik	0.001324451	0	0	0.006223738	0.016069503	0.012743138	0.008860729	0.001235409	0.007714117	0.004891314	0.003963986	0.001935171
4930554G24Rik	0.002772531	0	0	0.001147273	7.45E-05	0.000492365	0.02937023	0.029292871	0.071161997	0.092178903	0.071533232	0.011445923
4930554H23Rik	0	0	0	0.006404978	0.006546692	0.006136318	0.005420632	0.008565788	0.000246943	0.001029928	0.006413047	0.004321278
4930555B11Rik	0	0.004706653	0.033001285	0.042441777	0.000422829	0.088298093	0.03473569	0.001381181	0.025876097	0.013948069	0.004659114	0.002149209
4930555B12Rik	0	0	0	0	0	0	0.005875001	0	0.005546659	0.004587821	0.002154712	0.003163381
4930555F03Rik	0.003142087	0	0.033001285	0.004272144	0.003662112	0.003546063	0.02928822	0.18928476	0.045477943	0.295254313	0.64183511	0.498311644
4930555G01Rik	0	0	0	6.85E-05	0.000272474	0.001304038	0.028579727	0.004358735	0.011126607	0.001714637	0.000174507	0.001171829
4930555K19Rik	0	0	0	0.001611282	0	0.00258959	0.001532551	0	0.000871141	0.000303731	0.000351669	0.002087598
4930555M17Rik	0.006031114	0	0	0.001157927	0.000801275	0.002641356	0.016661818	0.169006888	0.053635785	0.277152479	0.284580922	0.053557851
4930555O08Rik	0.000483935	0	0	0.001847421	0.000383378	0.001152049	0.001089846	0.079596537	0.006240398	0.074677829	0.202290767	0.253886924
4930556G01Rik	0	0	0	0	0	0	0.001528437	0	0.010254865	0.008863193	0.000677234	0.002751828
4930556G22Rik	0.001850795	0	0	0.03797937	0.020577105	0.030250111	0.014396519	0.016454736	0.013727318	0.015280704	0.022130254	0.002049285
4930556I23Rik	0	0.002765797	0	0.0002978	0.000303384	0.000973879	0.000272379	0.14902948	0.004127422	0.006352381	0.282351755	0.159276357
4930556J24Rik	0.007882372	0	0	0.001828381	0.002671673	0.001270181	0.001897674	0.004242731	0.000108725	0.000264664	0.045283976	0.025694511
4930556L07Rik	0.007093942	0.012044507	0.263322066	0.30087147	0.354616478	0.54494146	0.555988267	0.43928921	0.510277211	0.43361489	0.317945821	0.429125953
4930556M19Rik	0.043265883	0.044901263	0.92667973	0.461530716	0.517759417	0.747601825	0.595021485	0.521561501	0.469830154	0.536293878	0.597906484	0.52582734
4930556N13Rik	0.003558397	0	0	0.000355541	0	0.002904274	0.000741482	0.048889413	0.01155187	0.033012988	0.074931625	0.067093269
4930557A04Rik	0.024503225	0.162245399	0.064513531	0.01715568	0.004405376	0.015412161	0.018014125	0.673902796	0.023724469	0.561593328	1.492007396	1.73200973
4930557F10Rik	0.007732999	0.05127225	0	0.018389226	0.028706089	0.058473572	0.236511098	0.578613669	0.712194196	1.035948126	1.005137805	0.066312488
4930558G05Rik	0.001778913	0	0	0	0	0	0.000966026	0.000480787	0.035678798	0.043426198	0.008883523	0.002004363
4930558J18Rik	0.081552693	0.506445353	0.598648819	0.375573632	0.494365406	0.554990422	0.376419674	0.313172448	0.265669574	0.174364861	0.090434657	0.02307281
4930558J22Rik	0.004412316	0	0.043502708	0.10000438	0.103059195	0.099344906	0.021944891	0.066410307	0.010108637	0.006932276	0.00309425	0.006405762
4930558K02Rik	0.017886553	0.121584044	0	0.043130998	0.048802514	0.008464405	0.009771798	0.285586268	0.373765817	0.786292486	0.246346472	0.020001801
4930558N11Rik	0.009724627	0.034328761	0	0.005753708	0.004088251	0.006797564	0.028416896	0.307935528	0.38004478	0.755080959	0.678720527	0.386150608
4930562A09Rik	0.010014252	0.002765797	0	0.005085328	0.004793261	0.012691774	0.31560007	0.195797606	0.43080027	0.470839406	0.527431256	0.310757634
4930562C15Rik	0.009837089	0.041771584	0.294206372	0.09032754	0.08888512	0.178372206	0.456052799	0.252062113	0.709299338	0.634480339	0.283616149	0.058732884
4930562D21Rik	0	0	0	0.00344392	0.000374492	0	0	0.060813789	0.023796516	0.149020773	0.109888938	0.118982115
4930562F07Rik	0.008437703	0.032518538	0	0.011602973	0.004534561	0.006822245	0.064933751	0.321252417	0.498298723	0.828154233	0.48269304	0.104511444
4930562F17Rik	0.004760623	0	0	0.000863977	0.000320512	0.000503698	0	0.005388448	0.006498973	0.022827624	0.155832722	0.076105944
4930563D23Rik	0.061405443	0.216187634	0.444583668	0.054702128	0.015238083	0.027884721	0.096157005	1.137310907	0.796960231	1.691957376	1.938785546	2.065203944
4930563E18Rik	0.002307614	0	0	0.011379906	0.009046938	0.008713058	0.003428226	0.004904342	0.016017513	0.019369386	0.003025366	0.003113441
4930563E22Rik	0.134097893	0.038734272	0.063760518	0.03549974	0.054396422	0.03654908	0.080180484	0.15276902	0.08946008	0.161715291	0.230960017	0.067685588
4930563I02Rik	0.019341405	0.002765797	0	0.004830387	0.000913158	0.002861421	0.017390096	0.117370164	0.136591524	0.503781857	0.578412837	0.328776894
4930563M21Rik	0.014150182	0.051285124	0.76103758	0.093182719	0.090078765	0.153168143	0.132759169	0.171130312	0.340099589	0.500891242	0.432715209	0.064062056
4930564B18Rik	0.000909301	0	0	0.000253525	0	0.000566477	0.052150922	0.025246596	0.097625247	0.08312061	0.041985983	0.011888696
4930564D02Rik	0	0.004706653	0.159072183	0.016901	0.016536855	0.033431066	0.021535018	0.031457343	0.01216329	0.009671234	0.007266163	0.014175656
4930565D16Rik	0	0	0	0	7.45E-05	0	0	0.005434005	0.000493941	0.031593129	0.055999872	0.036537532
4930565N06Rik	0.010003312	0	0	0.001466669	0.005023872	0.003295217	0.030799189	0.035076013	0.109687598	0.187597473	0.06326276	0.022866176
4930566F21Rik	0.001027584	0	0	0.010311669	0.007663914	0.003340725	0.014914917	0.016166771	0.053455399	0.060061308	0.04464545	0.00340176
4930566N20Rik	0	0	0	0	0	0	0	0	0.003305464	0.001292077	0.000384165	0.000387615
4930567H17Rik	0.012210183	0	0	0.002446364	0	0.004878394	0.009710266	0.2079197	0.066634969	0.227273933	0.503483693	0.523229763
4930568A12Rik	0.019564746	0	0.624284693	0.316234892	0.402876902	0.497298129	0.43993997	0.416140387	0.337250893	0.267123597	0.195393047	0.178428628
4930568D16Rik	0.004652587	0	0	0.001905775	0.001831238	0.002894669	0.039752493	0.08422693	0.304074461	0.432019577	0.295438082	0.048821321
4930568G15Rik	0	0.022178972	0.789697114	0.124394273	0.12316571	0.076729371	0.143944593	0.146602745	0.145514644	0.103433136	0.051212814	0.051704458
4930570D08Rik	0.031327165	0.205693492	0.191124689	0.019102086	0.005677344	0.01395812	0.018952919	0.647539824	0.119341376	0.58542016	1.308353795	1.98427288
4930570G19Rik	0.026646862	0.031052224	0.111197109	0.411939371	0.368287076	0.560604047	0.502745899	0.504679417	0.367062359	0.270725716	0.229203288	0.120990624
4930570N18Rik	0	0	0.046317868	0.023264123	0.04413067	0.068291945	0.058622087	0.047234474	0.035493802	0.042486443	0.036707144	0.011968901
4930571K23Rik	0.058022261	0.24579822	0.2157408	0.035844242	0.018108557	0.033146927	0.154638167	0.725113277	0.551444951	1.041950574	1.394006992	1.921612478
4930571N24Rik	0.005604142	0	0	0.007866006	0.003170687	0.002730138	0.008693212	0.369134132	0.108574367	0.79467182	0.970188664	0.206801565
4930572O03Rik	0	0	0	0.003766225	0.007220686	0.00443634	0.193179233	0.013297046	0.093643244	0.010562202	0.004617522	0.002745725
4930577H14Rik	0.003474972	0.019253431	0	0.062924739	0.088928729	0.141732138	0.125351255	0.134372578	0.119253576	0.11775382	0.085535026	0.074989878
4930577N17Rik	0.011964327	0.05127225	0	0.000300683	0.000993033	0.004024487	0.014198503	0	0.014628044	0.008101793	0.008289842	0.007757012
4930578G10Rik	0.005355986	0	0.237843902	0.070367758	0.056835028	0.132886746	0.129520971	0.192217381	0.194254323	0.317977678	0.244062903	0.028405823
4930578I06Rik	0.045937047	0.265822189	0.071493719	0.045101384	0.013223496	0.036030872	0.826267048	1.022563333	1.586257218	1.827103647	1.569758423	1.064785258
4930578I07Rik	0	0	0	0	0.000234887	0.000233714	0.000171076	0.007077919	0	0.007438181	0.03120533	0.04561322
4930578M01Rik	0.003176918	0	0.10047496	0.070573085	0.108065915	0.15996249	0.1067038	0.018612847	0.041933716	0.014625016	0.004738672	0.010154095
4930579C12Rik	0.012368801	0.066763286	0.220524409	0.031995695	0.055954385	0.028297731	0.031503787	0.207259005	0.058609279	0.522716367	0.693064832	0.280633067
4930579D09Rik	0.006494799	0.071075027	0	0.000366643	0.000554725	0.003754456	0.003122067	0.145570702	0.00496598	0.027566617	0.288769661	0.593004173
4930579F01Rik	0.026750968	0.089949923	0.043502708	0.019221358	0.014378895	0.036006393	0.948563498	0.627179596	1.449435786	1.309437782	0.501389886	0.215594622
4930579G18Rik	0.013346256	0	0	0.012122995	0.027262881	0.011517128	0.006990559	0.029397281	0.008927922	0.004297488	0.054576734	0.042533737
4930579G24Rik	0.230864077	0.780119747	0.7276854	0.914910837	0.932678587	0.199995944	0.10045643	0.423217246	0.055072205	0.040452671	0.024817314	0.029563484
4930579H20Rik	0	0	0	0.03820624	0.025733204	0.017156795	0.016061224	0.007960578	0.016247024	0.008523099	0.003827623	0.003689878
4930579K19Rik	0.133431061	0.03439177	0.082096688	0.12070047	0.107818293	0.084185886	0.11626279	0.108289992	0.128690722	0.014569651	0.014664057	0.011035551
4930579M01Rik	0.005362428	0	0.063785335	0.002071699	0.000301445	0	0.029268788	0.052821607	0.09186871	0.084459581	0.039024008	0.0141361
4930579O11Rik	0.004829231	0.03579712	0.039046567	0.003673924	0.001944191	0.002434164	0.007742446	0.268687563	0.072626415	0.366575799	0.391919028	0.52514592
4930581F22Rik	0.043049893	0.25084102	2.816411897	1.096402116	0.733754887	0.412804607	0.142685355	0.622776316	0.10062111	0.036037839	0.036247248	0.077078058
4930583I09Rik	0	0	0	0	0	0.000576001	0.000417292	0.001172502	0	0	0.004357119	0.02640846
4930583K01Rik	0.005180765	0.009283084	0.033001285	0.002888283	0.000721859	0.00138517	0.004642198	0.132718735	0.011051893	0.13689278	0.568376607	0.190210177
4930583P06Rik	0	0	0	0.001547705	0.001289595	0.002787361	0.004596456	0.177531358	0.067899237	0.448057131	0.369280537	0.077234407
4930584F24Rik	0.033223842	0.092868055	0.238670246	0.023064821	0.01011624	0.013749605	0.264390953	0.717930544	0.805389749	1.176104076	1.244432739	1.375793514
4930586N03Rik	0.002342258	0	0	0.002343512	0.002651797	0.001958529	0.007765729	0.032153024	0.023312027	0.02591413	0.038620767	0.002327645
4930587A21Rik	0.002925594	0	0.10047496	0.00187801	0	0.005217092	0.061682733	0.029917845	0.126873435	0.070960516	0.025628533	0.001230027
4930588K23Rik	0	0.004706653	0	0.011198186	0.015348805	0.028872103	0.011970325	0.00310847	0.014712939	0.009340767	0.007494491	0.003702525
4930589L23Rik	0.009512448	0	0.064842451	0.153516376	0.175534858	0.258862916	0.186538252	0.177270308	0.124836195	0.08231448	0.059386844	0.056120978
4930589P08Rik	0.043964528	0.1155997	0.451495773	0.926439505	0.895148805	1.637086395	1.520734192	1.184752287	1.436540419	1.264438785	0.963617277	0.782269817
4930590H14Rik	0.001685238	0.010900669	0	0.006456648	0.002063196	0.007605605	0.020506159	0.113862396	0.169421445	0.381446694	0.296302364	0.046347547
4930590J08Rik	0.005780343	0.070591862	0.290043299	0.07832033	0.095731078	0.141399307	0.127689884	0.182784186	0.215178186	0.395389872	0.31449618	0.229913513
4930590L20Rik	0.002477	0	0	0.013976321	0.012105318	0.005468285	0.002546163	0.001764929	0.001031588	0.000732325	0.007998466	0.001797037
4930591A17Rik	0.010937514	0.045609361	0.043502708	0.216115381	0.231288665	0.266115945	0.250264106	0.201253621	0.228300939	0.196168089	0.137699202	0.102338744
4930593A02Rik	0.004839966	0.019932255	0.231377691	0.169685501	0.210627369	0.237778293	0.205065933	0.171250618	0.205175402	0.198701898	0.137435698	0.064940888
4930593C16Rik	0.007875642	0	0.090785824	0.169805453	0.142485645	0.22086875	0.227191695	0.188043558	0.194944862	0.152658271	0.13762839	0.14264896
4930594C11Rik	0.012217458	0.047599025	0	0.006442344	0.003160128	0.007213062	0.072054379	0.218754852	0.363482123	0.465400628	0.280409816	0.308068915
4930594M17Rik	0	0	0	0.000132852	0.00022512	0.000644531	0.000953669	0.024067392	0	0.000355645	0.124066166	0.040956398
4930594M22Rik	0.109389242	0.13165027	0	0.010143507	0.007172733	0.006485314	0.008540807	0.044526082	0.083533792	0.228666697	0.284127182	0.219115733
4930594O21Rik	0	0.004706653	0	0.111478893	0.040574817	0.077753826	0.062986661	0.13763063	0.064930995	0.045952164	0.061828051	0.040527543
4930595D18Rik	0.001448997	0	0	0.000294533	0.002094307	0	0.001016973	0.000708201	0.00127841	0.03537523	0.135843681	0.064390125
4930595M18Rik	0.017637727	0.005875941	0	0.003405812	0.040320696	0.092653232	0.274353216	0.116433213	0.407592197	0.372488717	0.113744377	0.011889252
4930596D02Rik	0.006022602	0.002765797	0	0.008787356	0.0010239	0.008245836	0.023853959	0.236779463	0.277407179	0.868325432	0.360938798	0.089045431
4930597A21Rik	0.000943349	0.019253431	0	0.029943786	0.02426523	0.019648927	0.006619266	0.012728518	0.009046634	0.007834323	0.001366655	0.003652239
4930597O21Rik	0.024184763	0	0.043502708	0.005853828	0.003494243	0.001696708	0.001769817	0.00606533	0.00822285	0.001749087	0.003652796	0
4930598A11Rik	0.004774819	0	0	0.002021777	0	0.002279831	0.037154548	0.045077607	0.122377409	0.139551511	0.1058567	0.023902125
4930598F16Rik	0.000504014	0	0	0.000519547	0	0.000799248	0.001556929	0.079956607	0.000178917	0.001177437	0.11628413	0.03414265
4930599A14Rik	0	0	0	0.000186026	0.001080749	0	0.000170911	0.004335042	0.001824804	0.024143878	0.054121274	0.052206731
4930599N23Rik	0.03388694	0.063784646	0.217909798	0.077769357	0.101920154	0.119999312	0.125320385	0.085135408	0.106473102	0.088206044	0.058789883	0.037681403
4931400O07Rik	0.002962044	0	0	0.002850581	0.002871689	0.001921505	0.304496002	0.168963676	0.397094868	0.35872942	0.126033729	0.010618022
4931403E22Rik	0	0	0	0.0026898	0.005836799	0.005514788	0.043431209	0	0.019013638	0.006555167	0.000735376	0.001489507
4931403G20Rik	0.006591548	0	0	0.004703741	0.002720551	0.004537261	0.141599772	0.136376214	0.260437335	0.314589603	0.214967149	0.171223139
4931403M11Rik	0	0	0	0.000338868	0	0	0	0	0.010702583	0.013884983	0.020434751	0.012003606
4931406B18Rik	0.006078656	0	0.373897882	0.206094524	0.192345951	0.20734884	0.146054229	0.168180146	0.102627649	0.056231173	0.037696502	0.012672597
4931406C07Rik	0.333325279	0.203785374	0.46697417	0.461568475	0.416048728	0.420672081	0.256142997	0.288132137	0.200612717	0.15244069	0.115487303	0.073943676
4931406G06Rik	0	0	0	0.001745304	0.002855937	0.002740583	0.00646282	0.024707797	0.013501654	0.009819653	0.006587974	0.008474761
4931406P16Rik	0.790287728	0.410656757	0.050297741	0.166192187	0.139317989	0.035596783	0.034246512	0.056766221	0.027951246	0.022748175	0.010737433	0.018574458
4931408C20Rik	0.001268908	0	0.033001285	0.005671457	0.001924864	0.00556797	0.006546439	0.183978592	0.008227997	0.065042998	0.910021313	0.520026116
4931409K22Rik	0.077274616	0.150357061	0.287551606	0.030261752	0.016215356	0.042379498	0.113015823	1.040813625	1.408608851	2.035548316	1.600504845	0.549676187
4931413I07Rik	0.003096141	0	0	0.000445305	0.000617291	0.00029137	0.0257185	0.000708201	0.029850013	0.018110622	0.006124183	0.003836577
4931413K12Rik	0.001753299	0	0	0.004206592	0.006005925	0.011452806	0.114244313	0.289793471	0.531322946	0.699129983	0.408392062	0.204003357
4931414P19Rik	0.044051414	0	0	0.002261582	0.00338802	0.003034277	0.002260804	0	0.002006805	0.001006176	0.00035596	0.00520905
4931415C17Rik	0.011326459	0.28479615	0.574670439	0.387037382	0.338752044	0.27136916	0.323125751	0.308877457	0.250562381	0.17449959	0.145384906	0.079027713
4931417E11Rik	0.019712216	0.14064491	0.842803047	1.041077241	1.30923418	1.388598427	1.250752465	0.938823764	1.091374252	0.920407159	0.62903923	0.120171695
4931422A03Rik	0.011608465	0.162339928	0.339390671	0.323894311	0.427460443	0.452084643	0.396773502	0.297376344	0.382897747	0.357692417	0.29591829	0.41944603
4931423N10Rik	0.008229223	0.171057739	1.113252981	0.487661551	0.54301864	0.509245746	0.495623047	0.386042554	0.394616998	0.323736833	0.282367772	0.205644004
4931428F04Rik	0.16160176	0.072170696	0.033001285	0.007960937	0.002224564	0.011920229	0.016376607	0.290356101	0.041844361	0.555725292	1.034061476	0.284106186
4931428L18Rik	0.04069074	0.325021935	0	0.333589961	0.386827508	0.355471117	0.428745074	0.578865017	0.499742307	0.498980207	0.391529616	0.322839484
4931429I11Rik	0.019044361	0.104002966	0.642515936	0.354213974	0.383068337	0.436118815	0.565909759	0.442944045	0.776959726	0.615512363	0.295054383	0.050206022
4931429L15Rik	0.007936618	0.014777237	0	0.003498253	0.002577844	0.008220237	0.134059056	0.103452483	0.362226523	0.599947889	0.454391629	0.247839382
4931429P17Rik	0	0	0	0.006697236	0.000369262	0.001887839	0.00268096	0.004242731	0.001676027	0.003442608	0.003061083	0
4931431C16Rik	0	0.029219633	0.234830973	0.059227692	0.101052378	0.185707078	0.086701376	0.057143118	0.04054209	0.011891347	0.006431447	0.005055982
4931431F19Rik	0.005165383	0.113084965	0	0.004486716	0.000659437	0.00513256	0.007890875	0.089457354	0.020797375	0.179903226	0.720445091	0.470047249
4931440F15Rik	0.006615972	0	0	0.121645827	0.159905379	0.280156051	0.341738096	0.213996943	0.413456427	0.230433219	0.097981483	0.062014279
4931440J10Rik	0.015572812	0.026343933	0.136627918	0.290154912	0.308130803	0.467795237	0.41840405	0.38679734	0.358166481	0.306247701	0.232409514	0.312051906
4931440P22Rik	0.079442804	0.091564502	0.550617855	0.294553896	0.378160844	0.326634961	0.22598951	0.225623294	0.174045565	0.143774697	0.171955171	0.343885457
4932411E22Rik	0	0	0	0.003853076	0.001424902	0.001719088	0.002178182	0.039226341	0.002775885	0.00968335	0.080691671	0.021658413
4932411K12Rik	0.008050689	0	0	0.005629443	0.00246821	0.003605317	0.211713582	0.209023445	0.513813518	0.54317744	0.137302184	0.013082661
4932411N23Rik	0.001186012	0	0	0.000663071	0.002934554	0.000102089	0.252100021	0.125625817	0.386865535	0.340617532	0.127401652	0.012503558
4932412D23Rik	0.019882243	0.040936314	0.545958502	0.450805776	0.649482884	1.022587304	0.977577513	0.69082888	0.868340911	0.738641213	0.563278916	0.498986518
4932413F04Rik	0.002930746	0.068609919	0.186750271	0.116724293	0.114448662	0.136390829	0.103169135	0.199187312	0.095103337	0.096875684	0.042157911	0.004643319
4932414J04Rik	0	0	0	0.001089614	0	0.003315444	0.000939259	0.001557377	0.007724273	0.036515941	0.011283462	0
4932414N04Rik	0.074521342	0.747101239	2.022791846	1.246207529	1.14768474	0.984894118	0.833178303	1.177280154	0.939364458	1.048240007	1.748245161	0.797516991
4932415D10Rik	0.013189673	0.085275806	0.225543274	0.055045038	0.033874137	0.038059597	0.117662691	0.155266547	0.345192581	0.606016042	0.658938538	0.139108041
4932416K20Rik	0.017128187	0	0	0.010082656	0.01534017	0.061882088	0.483764232	0.300921633	0.591460108	0.672073766	0.232916996	0.023064554
4932418E24Rik	0.005424014	0	0	0.004100332	0.001344148	0.005361757	0.007970541	0.211362648	0.016485457	0.225020917	0.605097064	0.756463979
4932429P05Rik	0.004505043	0	0	0.00202811	0.000469588	0.00232786	0.116660061	0.053092831	0.285786671	0.299350595	0.059743907	0.001865847
4932430I15Rik	0	0	0	0.002023442	0.003893266	0.003979954	0.004367857	0	0.002319387	0.002768224	0.001351453	0.002949148
4932431P20Rik	0.163154358	0.560384707	2.832433036	1.525213945	1.858321372	2.236764106	1.939062279	1.432756514	1.062930952	0.463419096	0.274142156	0.236299843
4932435O22Rik	0.020260384	0	0	0.002528338	0	0.002491264	0.002998622	0.085021871	0.001956127	0.015616644	0.217227203	0.064406673
4932438A13Rik	1.055774359	1.872799227	1.94863748	1.030861817	0.916273658	0.692955265	0.594011337	0.730590961	0.572989147	0.40108947	0.375858948	0.169894796
4932438H23Rik	0.008244746	0.002765797	0.15185225	0.137471017	0.166506036	0.161283714	0.513844899	0.516425115	0.786179618	0.655025734	0.436385533	0.309957519
4932441J04Rik	0.002015144	0	0	0.007706782	0.009584841	0.017009176	0.012126301	0.018168178	0.007561673	0.003971863	0.001093567	0.00059181
4932442E05Rik	0	0	0	0.002949806	0.001819422	0.002138537	0	0.039084769	0.003392743	0.025378447	0.027116465	0.007471006
4932442L08Rik	0.606786632	0.041725564	0.08170534	0.000268047	0.014309902	0.021418136	0.053152792	0.03283538	0.027828278	0.029613804	0.019097139	0.005610653
4932443I19Rik	0	0	0	0.004097911	0.000998796	0.002662669	0	0.006968242	0.0043188	0.003857412	0.031665841	0.054356951
4932443L11Rik	0.014351695	0.092782877	0	0.013384137	0.008006381	0.003758329	0.00987031	0.001348387	0.018502607	0.036411441	0.039275964	0.032578775
4932702P03Rik	0.017257666	0.08272114	1.361860212	0.914686586	0.887803406	0.802538476	0.355028498	0.591963212	0.157328224	0.077192897	0.04123963	0.033801231
4933400A11Rik	0.006189363	0.032086857	0	0.003417333	0.002017478	0.007320426	0.004123947	0.297770629	0.048952722	0.45199885	0.76070206	0.89969417
4933400C23Rik	0	0	0	0	0	0.000227132	0	0	0.00083091	0	0.001435749	0
4933400F21Rik	0.007279054	0.044521437	0	0.004542447	0.002423717	0.003091147	0.180866547	0.208858326	0.499201002	0.598577195	0.34828947	0.174541311
4933401B06Rik	0.002872669	0	0	0.001268196	0.002754775	0.003127724	0.007674245	0.151819537	0.09980367	0.270424192	0.400714868	0.18454971
4933401J01Rik	0	0	0	0.000204678	0.000453184	0.000224119	0	0.020642272	0.013528498	0.012764024	0.002767168	0.000318165
4933402C06Rik	0.001765701	0	0.033001285	0.003215738	0.000895932	0.003002043	0.149847411	0.151891872	0.280662125	0.375984877	0.352960254	0.240003703
4933402D24Rik	0.001362185	0	0	0.002807175	0.000809489	0.004840656	0.123401054	0.138751648	0.247601339	0.393500993	0.345590465	0.161310456
4933402E13Rik	0.026459877	0.193874368	0	0.003243551	0.004753388	0.002693174	0.00968963	0.031391355	0.016013724	0.013114836	0.061716417	0.078830916
4933402J07Rik	0.084654995	0.383217988	0.502284662	0.058730673	0.021338321	0.056503014	0.786744941	1.432080722	1.617734955	2.0387045	2.235289868	2.357057908
4933402N03Rik	0.012403284	0.106912743	0	0.007511534	0.001701417	0.003003194	0.004086039	0.155229008	0.006734163	0.03867047	0.726364264	0.839452308
4933402N22Rik	0.003416812	0.082134294	0.635993689	0.73497985	0.727519154	0.200932136	0.260056823	0.400513205	0.187319628	0.186780119	0.083024514	0.022941288
4933402P03Rik	0.03000085	0.067384573	0.033001285	0.028299995	0.012692909	0.019081058	0.034141345	0.664233665	0.089110677	0.566904754	1.22735906	1.710226482
4933403O08Rik	0.049667442	0	0	0.002529351	0.004038513	0.003594677	0.018906115	0.091527327	0.110391314	0.223998096	0.174868324	0.016498267
4933404I11Rik	0	0	0	0	0.000759611	0.000672383	0.012711407	0.011559044	0.043603206	0.099802401	0.044171543	0.020428417
4933404K08Rik	0	0.013921442	0.394194551	0.101722567	0.065850559	0.079204069	0.05196157	0.056356585	0.046314791	0.024047429	0.007049515	0.000983104
4933404O12Rik	0.036203258	0.393775983	0.870494518	0.608387014	0.482991968	0.307019486	0.214596168	0.35559158	0.174456261	0.112217796	0.069095038	0.049838334
4933405D12Rik	0.002650892	0	0	0.09813849	0.098693923	0.09449832	0.108989572	0.039155534	0.096417524	0.06014945	0.038725725	0.012882041
4933405E24Rik	0.000812121	0	0	0.010294243	0.009747213	0.010954033	0.017992244	0.049978574	0.012299691	0.088484237	0.167383907	0.013458661
4933405L10Rik	0.01921806	0.022335918	0.362158551	0.480431341	0.631224587	0.907540556	0.951867942	0.588779736	0.838154659	0.663865985	0.507975134	0.232906363
4933405O20Rik	0.002506133	0.0527425	0	0.014752558	0.000937866	0.013181291	0.27615859	0.345634033	0.905479936	1.205621222	0.793910511	0.054967485
4933406C10Rik	0.037250831	0.415180234	1.730918803	0.474002368	0.345256105	0.177221521	0.370800639	0.350048753	0.388166363	0.328750567	0.152194266	0.065567338
4933406D12Rik	0	0	0	0.000394254	0	0.003248511	0.000459886	0.004298751	0.000987023	0.016960704	0.019337268	0.019965891
4933406F09Rik	0.014139013	0.057434274	0.271159818	0.483977875	0.476989348	0.596455729	0.521581819	0.32268569	0.449966031	0.382559721	0.304782298	0.607352191
4933406G16Rik	0	0.044470743	0	0	0	0	0.031463109	0.021667559	0.082928292	0.064221516	0.046036986	0.011493232
4933406I18Rik	0.012223572	0.063480278	0.514995261	0.128428082	0.169016294	0.329574992	0.244208758	0.224031123	0.153033525	0.141106946	0.097805551	0.052784563
4933406J08Rik	0.333661978	0.296261918	0.116907398	0.232542644	0.221384563	0.017784357	0.027641866	0.067536098	0.017258978	0.00727959	0.005009644	0.002827595
4933406J10Rik	0	0.028569454	0	0.000154752	0.0010887	0.003627637	0.080133471	0.130799958	0.245343029	0.187389477	0.056844262	0.006427037
4933406K04Rik	0.027565797	0.129888817	0.426975153	0.355466272	0.353263726	0.468442316	0.511006979	0.462993581	0.61876843	0.767136973	0.677783515	0.630977659
4933406M09Rik	0	0	0	0.005961744	0.004175457	0.001548955	0.007809513	0.216071684	0.010692516	0.119143673	0.89865552	0.313097245
4933406P04Rik	0.011597942	0.130080205	0.41907197	0.325594283	0.293460426	0.116996602	0.050400668	0.101920162	0.015287221	0.016256842	0.026189119	0.011009558
4933407E24Rik	0	0	0	0.018220484	0.028505849	0.059452231	0.047602808	0.051104924	0.052382178	0.035458747	0.024459439	0.020924794
4933407I08Rik	0.003168905	0.013921442	0	0.002147797	0	0.001634506	0.037352762	0.152142392	0.160260644	0.182888144	0.189466104	0.123163081
4933407K13Rik	0.036260018	0	0	0.002712671	0.003768518	0.009678105	0.062277035	0.064616643	0.125142121	0.171069949	0.199085258	0.036903949
4933407L21Rik	0	0	0.098718878	0.024443677	0.034504086	0.035079885	0.022525481	0.001749304	0.014105415	0.011519258	0.005591393	0.006135067
4933408B17Rik	0.018031302	0.28034851	0.797200189	0.195969886	0.131546405	0.054364174	0.045899301	0.139217494	0.012752357	0.006180891	0.002447215	0.020884458
4933408J17Rik	0.045257647	0.02883041	0.158683935	0.078014801	0.069924707	0.043342198	0.123949144	0.057958819	0.199632944	0.197125946	0.116259736	0.080786907
4933408N05Rik	0.00490066	0	0	0.00075529	0.000798314	0.000420832	0.066756516	0.00289976	0.120773523	0.058545417	0.030842991	0.002241353
